SAMPLE_ID,MPO_Score,Z_AUC 809387,Z_AUC 810089,Z_AUC 809405,Z_AUC average,Z_AUC 840907,Z_AUC 1036743,Z_AUC 803493,Z_AUC 787193,Z_AUC 783779
NCGC00182851,5.3,-0.0617053,-0.574549905,-0.386507065,-0.129180521,-0.438234217,-0.002306191,0.510270462,0.022282071,-0.102694022
NCGC00015958,5.3,0.663416596,0.560386612,0.330339762,0.380876307,0.771335697,-0.108469498,-0.103946763,0.352182184,0.581765863
NCGC00016410,5.3,0.153716158,0.851421026,1.075240808,0.639265816,0.66984474,0.492809059,0.265289778,0.709673956,0.896131002
NCGC00346590,5.3,0.193948422,-0.159737001,0.295484915,-0.398744832,-0.134373073,-0.295632613,0.010660755,-2.149845891,-0.950464168
NCGC00856423,5.3,-0.688171434,-0.663179785,-0.480759116,-0.962838162,-0.861615539,-1.734187678,-1.82946032,-1.14045168,-0.30487974
NCGC00346730,5.3,0.997579636,0.509985146,0.668041882,0.786205045,1.04340407,0.705422026,0.479649823,0.812163782,1.073393999
NCGC00091014,5.3,1.07545381,0.586655443,0.464503555,0.790650699,0.85730325,0.851266089,0.477315653,1.107652215,0.905055579
NCGC00159518,5.3,0.32289352,-0.634851621,0.310119726,0.176734896,-0.392764908,0.289042384,1.049445268,0.438147208,0.03184759
NCGC00351600,5.3,-0.709814782,0.299969154,1.044602743,-0.668091188,-0.285508699,-0.771559906,-3.363627451,-0.805632876,-0.753157686
NCGC00871096,5.3,0.718475022,0.883042214,0.980823808,0.921580165,0.635402822,1.458868921,0.596572901,1.239890855,0.859564781
NCGC00390739,5.3,-1.547074028,-1.572003568,-1.431754455,-1.524758738,-0.514685744,-2.434671115,-1.807409207,-1.193522301,-1.696949484
NCGC00015199,5.3,-0.108304223,-0.433109081,0.053914786,-0.397112757,-0.778779273,-0.562881045,-0.072905893,-0.447865786,-0.826971539
NCGC00510805,5.3,-0.46484582,-0.38186218,-0.270259526,0.039857795,0.147946375,0.11314727,0.747898347,0.40799096,0.018846933
NCGC00246958,5.3,0.878449407,0.819383808,0.338712167,0.571565016,0.757261952,0.823970263,0.306438477,0.548907245,0.099396807
NCGC00387263,5.3,-0.438553035,-0.291306076,-0.675354153,-0.410349132,-0.023064973,-1.052072546,-0.091538132,0.147564998,-0.858469141
NCGC00016925,5.3,1.221347879,0.922247194,0.926570271,0.90903355,1.028227466,0.748698366,0.642337683,0.851456839,0.931382704
NCGC00346495-,5.3,0.23799992,0.372445445,-0.242966193,#N/A,#N/A,#N/A,#N/A,#N/A,0.85898786
NCGC00390812,5.3,-2.41535924,-1.921178882,-2.35681626,-2.063152904,-2.469740361,-2.074892277,-1.443393674,-1.442113423,-2.381729115
NCGC00841291,5.3,-0.567759617,-0.403900145,0.421412689,-0.063448023,-0.53721613,0.187674456,-0.393051517,0.192155067,0.59310101
NCGC00024309,5.3,1.08948632,0.971149744,0.938789311,1.028869774,0.945663489,1.140619571,0.765252768,1.227057612,1.152939379
NCGC00022001,5.3,-2.710031575,-3.193110904,-2.780241012,-2.165439755,-2.01597966,-0.83335481,-2.87532191,-2.257101195,-0.658376976
NCGC00161923,5.3,-1.342333569,-1.735278532,-1.45391734,-1.189388751,-1.619919186,-0.671631596,-0.521564515,-1.321208126,-0.849257145
NCGC00344549,5.3,1.005196033,1.054509438,0.960920539,1.042979303,1.383389606,1.158847713,0.559732074,0.946376023,1.274862997
NCGC00856425,5.3,0.490587049,0.769269282,0.248544094,0.522669982,0.562314162,1.217871032,0.405088947,-0.189759922,0.677445216
NCGC00167328,5.3,0.579168213,1.146277019,-0.250168461,0.688263878,0.871647827,0.923553691,0.772301117,0.85233608,0.610995535
NCGC00015725,5.3,0.829889391,0.562953079,0.257744293,0.703719646,0.635587294,0.719746093,0.839859937,0.76284381,1.021133272
NCGC00017369,5.3,0.271266348,0.709734618,0.587055724,0.550503331,0.543421017,0.525065356,0.863676078,0.386981457,0.516826052
NCGC00476204,5.3,0.732250085,0.503907316,0.761871084,0.370922023,1.395393712,-0.37233415,0.387316511,-0.417478118,-0.023550254
